stage,units,sr,lr,input_scaling,alpha,val_acc,val_macro_f1,val_balanced_acc
stage1_boundary,500,0.8,0.1,0.2,100.0,0.546,0.5169834032786418,0.5457833963393717
stage1_boundary,500,0.8,0.1,0.3,100.0,0.546,0.5194107031789902,0.5458741857086757
stage1_boundary,500,0.8,0.1,0.5,100.0,0.5415,0.5134547063850283,0.5435633841751424
stage1_boundary,500,0.99,0.3,0.2,100.0,0.534,0.506342757834935,0.5369279534452828
stage1_boundary,500,0.99,0.3,0.3,100.0,0.5235,0.48946995325615095,0.5157052983603783
stage1_boundary,500,0.99,0.3,0.5,100.0,0.5115,0.46631919417513606,0.48978204089190747
stage1_boundary,500,0.7,0.1,0.2,100.0,0.5405,0.5123103527237125,0.5407767597792834
stage1_boundary,500,0.7,0.1,0.3,100.0,0.5405,0.5145419293693282,0.541312382843968
stage1_boundary,500,0.7,0.1,0.5,100.0,0.5375,0.506320844275689,0.5357693157344189
stage1_boundary,500,0.95,0.1,0.2,100.0,0.546,0.5155944863348634,0.5473258078310593
stage1_boundary,500,0.95,0.1,0.3,100.0,0.54,0.5162190699925886,0.5413407147043836
stage1_boundary,500,0.95,0.1,0.5,100.0,0.544,0.5145443024842549,0.5400716182433491
stage1_boundary,500,0.99,0.05,0.2,10.0,0.5595,0.525885795989171,0.5483612031157373
stage1_boundary,500,0.99,0.05,0.3,100.0,0.5445,0.5258640109367476,0.5690326314423456
stage1_boundary,500,0.99,0.05,0.5,100.0,0.548,0.5208415441897934,0.5578801987745708
