stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage1_boundary,500,0.8,0.1,0.2,1e-10,0.527,0.49375156504152856,0.5095363098942707
stage1_boundary,500,0.8,0.1,0.2,1e-09,0.527,0.49375156504152856,0.5095363098942707
stage1_boundary,500,0.8,0.1,0.2,1e-08,0.527,0.49375156504152856,0.5095363098942707
stage1_boundary,500,0.8,0.1,0.2,1e-07,0.527,0.49375156504152856,0.5095363098942707
stage1_boundary,500,0.8,0.1,0.2,1e-06,0.527,0.49375156504152856,0.5095363098942707
stage1_boundary,500,0.8,0.1,0.2,1e-05,0.527,0.49375156504152856,0.5095363098942707
stage1_boundary,500,0.8,0.1,0.2,0.0001,0.527,0.49375156504152856,0.5095363098942707
stage1_boundary,500,0.8,0.1,0.2,0.001,0.5265,0.4933428643824265,0.5091394844974453
stage1_boundary,500,0.8,0.1,0.2,0.01,0.5255,0.4924578970466901,0.5079232513023202
stage1_boundary,500,0.8,0.1,0.2,0.1,0.526,0.49382683298236857,0.509032073036142
stage1_boundary,500,0.8,0.1,0.2,1.0,0.5335,0.5047858351596848,0.5187931906781567
stage1_boundary,500,0.8,0.1,0.2,10.0,0.5425,0.5133764754946728,0.5284782442210914
stage1_boundary,500,0.8,0.1,0.2,100.0,0.546,0.5169834032786418,0.5457833963393717
stage1_boundary,500,0.8,0.1,0.3,1e-10,0.523,0.49200745257987644,0.505953766787141
stage1_boundary,500,0.8,0.1,0.3,1e-09,0.523,0.49200745257987644,0.505953766787141
stage1_boundary,500,0.8,0.1,0.3,1e-08,0.523,0.49200745257987644,0.505953766787141
stage1_boundary,500,0.8,0.1,0.3,1e-07,0.523,0.49200745257987644,0.505953766787141
stage1_boundary,500,0.8,0.1,0.3,1e-06,0.523,0.49200745257987644,0.505953766787141
stage1_boundary,500,0.8,0.1,0.3,1e-05,0.523,0.49200745257987644,0.505953766787141
stage1_boundary,500,0.8,0.1,0.3,0.0001,0.523,0.49200745257987644,0.505953766787141
stage1_boundary,500,0.8,0.1,0.3,0.001,0.523,0.49200745257987644,0.505953766787141
stage1_boundary,500,0.8,0.1,0.3,0.01,0.5235,0.4923341632503142,0.5062176190298852
stage1_boundary,500,0.8,0.1,0.3,0.1,0.5245,0.4939506592818928,0.5072367827929514
