stage,units,sr,lr,input_scaling,alpha,val_acc,val_macro_f1,val_balanced_acc
stage1_coarse,500,0.7,0.05,0.01,100.0,0.5335,0.4944707768922715,0.5369732112279207
stage1_coarse,500,0.7,0.05,0.02,100.0,0.5315,0.49216178530751875,0.5308497427498785
stage1_coarse,500,0.7,0.05,0.05,100.0,0.535,0.4980555819226665,0.536362247171025
stage1_coarse,500,0.7,0.05,0.1,100.0,0.535,0.5050439647325358,0.5422798346217165
stage1_coarse,500,0.7,0.1,0.01,0.001,0.545,0.4977400368185282,0.5257700207190263
stage1_coarse,500,0.7,0.1,0.02,100.0,0.5395,0.49842451873076515,0.536521440456147
stage1_coarse,500,0.7,0.1,0.05,100.0,0.5375,0.5000639622349559,0.5343442835531798
stage1_coarse,500,0.7,0.1,0.1,10.0,0.553,0.5179013804228143,0.5430939750327258
stage1_coarse,500,0.7,0.15,0.01,100.0,0.5295,0.48514778029857464,0.5245188807050865
stage1_coarse,500,0.7,0.15,0.02,10.0,0.5345,0.48951047520924373,0.5220181479985758
stage1_coarse,500,0.7,0.15,0.05,10.0,0.5435,0.5036473346551307,0.5345524373426108
stage1_coarse,500,0.7,0.15,0.1,1.0,0.548,0.5082971266478958,0.5390153518007855
stage1_coarse,500,0.7,0.3,0.01,10.0,0.531,0.48315495787626095,0.5131303877831698
stage1_coarse,500,0.7,0.3,0.02,1.0,0.537,0.4894466953337192,0.5135527647598306
stage1_coarse,500,0.7,0.3,0.05,1.0,0.546,0.5000220126783759,0.5251930530848675
stage1_coarse,500,0.7,0.3,0.1,10.0,0.544,0.5140192743827721,0.5358919638986569
stage1_coarse,500,0.8,0.05,0.01,100.0,0.5325,0.49270373005034795,0.5343840417593756
stage1_coarse,500,0.8,0.05,0.02,100.0,0.5315,0.4902514078826841,0.5293352095068039
stage1_coarse,500,0.8,0.05,0.05,100.0,0.5345,0.4952758037656359,0.533656631272844
stage1_coarse,500,0.8,0.05,0.1,100.0,0.5415,0.5110861209879531,0.549051647985084
stage1_coarse,500,0.8,0.1,0.01,100.0,0.536,0.4989217368699993,0.5407297284458363
stage1_coarse,500,0.8,0.1,0.02,100.0,0.537,0.4999863302919197,0.5412372179355799
stage1_coarse,500,0.8,0.1,0.05,10.0,0.5445,0.5081988523102482,0.540554466029817
stage1_coarse,500,0.8,0.1,0.1,10.0,0.5575,0.5222987541278848,0.5466443337628467
stage1_coarse,500,0.8,0.15,0.01,100.0,0.534,0.4907042489592756,0.5310431639599908
stage1_coarse,500,0.8,0.15,0.02,100.0,0.539,0.4950249819028129,0.5344205089533605
stage1_coarse,500,0.8,0.15,0.05,1.0,0.542,0.4984220104451822,0.522813203335289
stage1_coarse,500,0.8,0.15,0.1,10.0,0.5465,0.5116501066745845,0.537894463880166
stage1_coarse,500,0.8,0.3,0.01,1.0,0.527,0.4815442423993586,0.511058563790837
stage1_coarse,500,0.8,0.3,0.02,0.001,0.5405,0.49444615605042586,0.5192696268158904
stage1_coarse,500,0.8,0.3,0.05,1.0,0.5455,0.5025872892624081,0.5266728312890193
stage1_coarse,500,0.8,0.3,0.1,10.0,0.5465,0.5119107783900636,0.534354883588607
stage1_coarse,500,0.9,0.05,0.01,100.0,0.534,0.49953454473071013,0.5452749211172917
stage1_coarse,500,0.9,0.05,0.02,100.0,0.5335,0.4979135656871613,0.5413086621564484
stage1_coarse,500,0.9,0.05,0.05,100.0,0.5355,0.4965283235573465,0.5342095378926529
stage1_coarse,500,0.9,0.05,0.1,100.0,0.5435,0.5086388362717943,0.5487819356388207
stage1_coarse,500,0.9,0.1,0.01,10.0,0.5445,0.509479503474142,0.5440668473008244
stage1_coarse,500,0.9,0.1,0.02,100.0,0.5355,0.5038209512773171,0.5479007145924946
stage1_coarse,500,0.9,0.1,0.05,100.0,0.5375,0.5015952028705036,0.5365534629574362
stage1_coarse,500,0.9,0.1,0.1,10.0,0.547,0.5097006129628366,0.5358152789172685
stage1_coarse,500,0.9,0.15,0.01,10.0,0.5365,0.4968020231359899,0.5287139738454454
stage1_coarse,500,0.9,0.15,0.02,100.0,0.5375,0.49753081376831954,0.5359996184032336
stage1_coarse,500,0.9,0.15,0.05,100.0,0.548,0.5131149703270175,0.5480231258704338
stage1_coarse,500,0.9,0.15,0.1,10.0,0.546,0.5109579641588862,0.5366254007914846
stage1_coarse,500,0.9,0.3,0.01,100.0,0.5275,0.48249930731359586,0.5152989192273931
stage1_coarse,500,0.9,0.3,0.02,100.0,0.526,0.4835747308810565,0.5180460945474078
stage1_coarse,500,0.9,0.3,0.05,1.0,0.5395,0.5012266271097803,0.5274619938915452
stage1_coarse,500,0.9,0.3,0.1,10.0,0.542,0.508458698180102,0.5316445869018953
stage1_coarse,500,0.95,0.05,0.01,100.0,0.535,0.5021353213471613,0.5479809017655685
stage1_coarse,500,0.95,0.05,0.02,100.0,0.536,0.500444408398033,0.5448451339986407
stage1_coarse,500,0.95,0.05,0.05,100.0,0.5355,0.49776274076675736,0.5391685517007521
stage1_coarse,500,0.95,0.05,0.1,100.0,0.547,0.5110225857163708,0.5527119993243728
stage1_coarse,500,0.95,0.1,0.01,10.0,0.5425,0.5044317937408145,0.5374809933199022
stage1_coarse,500,0.95,0.1,0.02,100.0,0.5395,0.505351292036499,0.5527558522051739
stage1_coarse,500,0.95,0.1,0.05,100.0,0.5385,0.5033769966784459,0.5408620755057644
stage1_coarse,500,0.95,0.1,0.1,100.0,0.551,0.5168449942685232,0.5554445357411272
stage1_coarse,500,0.95,0.15,0.01,10.0,0.538,0.4967187513699637,0.5296444983575439
stage1_coarse,500,0.95,0.15,0.02,100.0,0.5315,0.4971957860761325,0.5343263026263736
stage1_coarse,500,0.95,0.15,0.05,10.0,0.545,0.5061591879363286,0.5344699358889154
stage1_coarse,500,0.95,0.15,0.1,1.0,0.546,0.5093350093374405,0.5355369974604002
stage1_coarse,500,0.95,0.3,0.01,10.0,0.5415,0.5021506006000178,0.5280412690574071
stage1_coarse,500,0.95,0.3,0.02,100.0,0.5355,0.4937570908304704,0.525053636915574
stage1_coarse,500,0.95,0.3,0.05,100.0,0.5385,0.5048249238905641,0.5369801831140529
stage1_coarse,500,0.95,0.3,0.1,10.0,0.5465,0.513072951568418,0.5380463650015929
stage1_coarse,500,0.99,0.05,0.01,100.0,0.5375,0.5063283590490315,0.5543753525348036
stage1_coarse,500,0.99,0.05,0.02,100.0,0.534,0.5021202902994184,0.5476024392184453
stage1_coarse,500,0.99,0.05,0.05,100.0,0.536,0.498543912903955,0.5398132955425181
stage1_coarse,500,0.99,0.05,0.1,100.0,0.5495,0.5153992863021225,0.5564316773169345
stage1_coarse,500,0.99,0.1,0.01,100.0,0.534,0.5010155042870806,0.5473963681460645
stage1_coarse,500,0.99,0.1,0.02,100.0,0.536,0.5008324278450521,0.5482420984293601
