stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage1_coarse,500,0.7,0.05,0.01,1e-10,0.517,0.4679519742246841,0.4924490972619996
stage1_coarse,500,0.7,0.05,0.01,1e-09,0.517,0.4679519742246841,0.4924490972619996
stage1_coarse,500,0.7,0.05,0.01,1e-08,0.517,0.4679519742246841,0.4924490972619996
stage1_coarse,500,0.7,0.05,0.01,1e-07,0.517,0.4679519742246841,0.4924490972619996
stage1_coarse,500,0.7,0.05,0.01,1e-06,0.517,0.46790570521511066,0.4924490972619996
stage1_coarse,500,0.7,0.05,0.01,1e-05,0.517,0.46814405675685256,0.49316109359899596
stage1_coarse,500,0.7,0.05,0.01,0.0001,0.518,0.46874601109490444,0.4937298238905205
stage1_coarse,500,0.7,0.05,0.01,0.001,0.519,0.4663919901125276,0.4897537294775531
stage1_coarse,500,0.7,0.05,0.01,0.01,0.5275,0.47062891092827747,0.49702976402210625
stage1_coarse,500,0.7,0.05,0.01,0.1,0.5315,0.473291181753137,0.5042782298793357
stage1_coarse,500,0.7,0.05,0.01,1.0,0.5205,0.46757340669482633,0.49855746304982745
stage1_coarse,500,0.7,0.05,0.01,10.0,0.5335,0.4896903193556734,0.5252922947712427
stage1_coarse,500,0.7,0.05,0.01,100.0,0.5335,0.4944707768922715,0.5369732112279207
stage1_coarse,500,0.7,0.05,0.02,1e-10,0.5115,0.4597295653741913,0.4820646818801843
stage1_coarse,500,0.7,0.05,0.02,1e-09,0.5115,0.4597295653741913,0.4820646818801843
stage1_coarse,500,0.7,0.05,0.02,1e-08,0.5115,0.4597295653741913,0.4820646818801843
stage1_coarse,500,0.7,0.05,0.02,1e-07,0.5115,0.4597295653741913,0.4820646818801843
stage1_coarse,500,0.7,0.05,0.02,1e-06,0.5115,0.4597295653741913,0.4820646818801843
stage1_coarse,500,0.7,0.05,0.02,1e-05,0.5115,0.4597295653741913,0.4820646818801843
stage1_coarse,500,0.7,0.05,0.02,0.0001,0.5115,0.4597628313499277,0.4820646818801843
stage1_coarse,500,0.7,0.05,0.02,0.001,0.5175,0.46496898619711596,0.48714630682838067
stage1_coarse,500,0.7,0.05,0.02,0.01,0.5285,0.47625573085346745,0.5017693409435522
stage1_coarse,500,0.7,0.05,0.02,0.1,0.5305,0.4750307883926885,0.5028465815769441
stage1_coarse,500,0.7,0.05,0.02,1.0,0.526,0.47605219946601884,0.5069260313251271
stage1_coarse,500,0.7,0.05,0.02,10.0,0.5315,0.48890567103405036,0.524082524797009
