stage,units,sr,lr,input_scaling,alpha,val_acc,val_macro_f1,val_balanced_acc
stage2_size,200,0.99,0.05,0.2,100.0,0.5425,0.5151507973981232,0.5651623792297338
stage2_size,500,0.99,0.05,0.2,10.0,0.5595,0.525885795989171,0.5483612031157373
stage2_size,700,0.99,0.05,0.2,100.0,0.591,0.5561186046273087,0.5976614448459033
stage2_size,1000,0.99,0.05,0.2,100.0,0.585,0.5613717341738823,0.5862166921751676
stage2_size,200,0.99,0.05,0.3,100.0,0.5275,0.5035855560697979,0.5520462538054198
stage2_size,500,0.99,0.05,0.3,100.0,0.5445,0.5258640109367476,0.5690326314423456
stage2_size,700,0.99,0.05,0.3,100.0,0.584,0.5564628031796091,0.597888932153017
stage2_size,1000,0.99,0.05,0.3,100.0,0.586,0.5555195154704596,0.5777563432246741
stage2_size,200,0.8,0.1,0.1,100.0,0.523,0.4886080458944134,0.5403855111560076
stage2_size,500,0.8,0.1,0.1,10.0,0.5575,0.5222987541278848,0.5466443337628467
stage2_size,700,0.8,0.1,0.1,100.0,0.5945,0.5600656069488427,0.5994508465156121
stage2_size,1000,0.8,0.1,0.1,100.0,0.59,0.546486329033177,0.572328559782773
stage2_size,200,0.99,0.05,0.5,10.0,0.517,0.4973846209620911,0.546534249604874
stage2_size,500,0.99,0.05,0.5,100.0,0.548,0.5208415441897934,0.5578801987745708
stage2_size,700,0.99,0.05,0.5,100.0,0.5765,0.5437108686985572,0.5777376680803034
stage2_size,1000,0.99,0.05,0.5,100.0,0.564,0.5262395562387692,0.5496419194234872
stage2_size,200,0.8,0.1,0.3,100.0,0.5225,0.4918655313737714,0.5436476138240882
stage2_size,500,0.8,0.1,0.3,100.0,0.546,0.5194107031789902,0.5458741857086757
stage2_size,700,0.8,0.1,0.3,100.0,0.586,0.553491772781526,0.585644770732286
stage2_size,1000,0.8,0.1,0.3,100.0,0.5645,0.5257250795886665,0.54626415392725
