stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage2_size,200,0.99,0.05,0.2,1e-10,0.5345,0.5048678425886933,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,1e-09,0.5345,0.5048678425886933,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,1e-08,0.5345,0.5048678425886933,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,1e-07,0.5345,0.5048678425886933,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,1e-06,0.5345,0.5048678425886933,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,1e-05,0.5345,0.5048678425886933,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,0.0001,0.5345,0.5048678425886933,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,0.001,0.5345,0.5048678425886933,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,0.01,0.5345,0.5050105319967789,0.5447415920281065
stage2_size,200,0.99,0.05,0.2,0.1,0.5345,0.5044087548902669,0.5436540929194992
stage2_size,200,0.99,0.05,0.2,1.0,0.5355,0.5055808166570989,0.5436235368296629
stage2_size,200,0.99,0.05,0.2,10.0,0.5395,0.5113705768720083,0.5516691292486062
stage2_size,200,0.99,0.05,0.2,100.0,0.5425,0.5151507973981232,0.5651623792297338
stage2_size,500,0.99,0.05,0.2,1e-10,0.5115,0.4657254184570661,0.48141142748502713
stage2_size,500,0.99,0.05,0.2,1e-09,0.5115,0.4657254184570661,0.48141142748502713
stage2_size,500,0.99,0.05,0.2,1e-08,0.5115,0.4657254184570661,0.48141142748502713
stage2_size,500,0.99,0.05,0.2,1e-07,0.5115,0.4657254184570661,0.48141142748502713
stage2_size,500,0.99,0.05,0.2,1e-06,0.5115,0.4657254184570661,0.48141142748502713
stage2_size,500,0.99,0.05,0.2,1e-05,0.5115,0.4657254184570661,0.48141142748502713
stage2_size,500,0.99,0.05,0.2,0.0001,0.5115,0.4657254184570661,0.48141142748502713
stage2_size,500,0.99,0.05,0.2,0.001,0.5115,0.4657254184570661,0.48141142748502713
stage2_size,500,0.99,0.05,0.2,0.01,0.513,0.46823702118706495,0.48425831455066415
stage2_size,500,0.99,0.05,0.2,0.1,0.515,0.4721273946220069,0.48857593574328534
stage2_size,500,0.99,0.05,0.2,1.0,0.535,0.49576172497870763,0.5106955156622907
stage2_size,500,0.99,0.05,0.2,10.0,0.5595,0.525885795989171,0.5483612031157373
stage2_size,500,0.99,0.05,0.2,100.0,0.5465,0.5229464424071859,0.5664074564864434
stage2_size,700,0.99,0.05,0.2,1e-10,0.4865,0.4292147932266639,0.4415608560195377
stage2_size,700,0.99,0.05,0.2,1e-09,0.4865,0.4292147932266639,0.4415608560195377
stage2_size,700,0.99,0.05,0.2,1e-08,0.4865,0.4292147932266639,0.4415608560195377
stage2_size,700,0.99,0.05,0.2,1e-07,0.4865,0.4292147932266639,0.4415608560195377
stage2_size,700,0.99,0.05,0.2,1e-06,0.4865,0.4292147932266639,0.4415608560195377
stage2_size,700,0.99,0.05,0.2,1e-05,0.4865,0.4292147932266639,0.4415608560195377
stage2_size,700,0.99,0.05,0.2,0.0001,0.4865,0.4292147932266639,0.4415608560195377
stage2_size,700,0.99,0.05,0.2,0.001,0.4865,0.4292147932266639,0.4415608560195377
stage2_size,700,0.99,0.05,0.2,0.01,0.486,0.4297346512588203,0.44237073103192326
stage2_size,700,0.99,0.05,0.2,0.1,0.4965,0.44279913795935055,0.4550560014403996
stage2_size,700,0.99,0.05,0.2,1.0,0.5355,0.48780695673419733,0.5066855661635778
stage2_size,700,0.99,0.05,0.2,10.0,0.5795,0.5428932661035274,0.5708115781445382
stage2_size,700,0.99,0.05,0.2,100.0,0.591,0.5561186046273087,0.5976614448459033
stage2_size,1000,0.99,0.05,0.2,1e-10,0.384,0.3229484304505863,0.3270379004079502
stage2_size,1000,0.99,0.05,0.2,1e-09,0.384,0.3229484304505863,0.3270379004079502
stage2_size,1000,0.99,0.05,0.2,1e-08,0.384,0.3229484304505863,0.3270379004079502
