stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage3_confirmation,1000,0.99,0.05,0.2,1e-10,0.6030919703423253,0.5697036628651018,0.5902647942466344
stage3_confirmation,1000,0.99,0.05,0.2,1e-09,0.6030919703423253,0.5697036628651018,0.5902647942466344
stage3_confirmation,1000,0.99,0.05,0.2,1e-08,0.6030919703423253,0.5697036628651018,0.5902647942466344
stage3_confirmation,1000,0.99,0.05,0.2,1e-07,0.6030919703423253,0.5697036628651018,0.5902647942466344
stage3_confirmation,1000,0.99,0.05,0.2,1e-06,0.6030919703423253,0.5697036628651018,0.5902647942466344
stage3_confirmation,1000,0.99,0.05,0.2,1e-05,0.6030919703423253,0.5697036628651018,0.5902647942466344
stage3_confirmation,1000,0.99,0.05,0.2,0.0001,0.6030919703423253,0.5697036628651018,0.5902647942466344
stage3_confirmation,1000,0.99,0.05,0.2,0.001,0.6030919703423253,0.5697036628651018,0.5902647942466344
stage3_confirmation,1000,0.99,0.05,0.2,0.01,0.6032497239312195,0.5697634826684934,0.5903479889221751
stage3_confirmation,1000,0.99,0.05,0.2,0.1,0.603880738286796,0.5704483450375013,0.5912021413140124
stage3_confirmation,1000,0.99,0.05,0.2,1.0,0.6067203028868907,0.5760031994954722,0.5958006302212039
stage3_confirmation,1000,0.99,0.05,0.2,10.0,0.6201293579428933,0.5930740145549966,0.6154472188242546
stage3_confirmation,1000,0.99,0.05,0.2,100.0,0.6265183782931062,0.6017123878077728,0.6324534914584826
stage3_confirmation,700,0.8,0.1,0.1,1e-10,0.6014355576589367,0.5595053893300026,0.5873776168105221
stage3_confirmation,700,0.8,0.1,0.1,1e-09,0.6014355576589367,0.5595053893300026,0.5873776168105221
stage3_confirmation,700,0.8,0.1,0.1,1e-08,0.6014355576589367,0.5595053893300026,0.5873776168105221
stage3_confirmation,700,0.8,0.1,0.1,1e-07,0.6014355576589367,0.5595053893300026,0.5873776168105221
stage3_confirmation,700,0.8,0.1,0.1,1e-06,0.6014355576589367,0.5595053893300026,0.5873776168105221
stage3_confirmation,700,0.8,0.1,0.1,1e-05,0.6014355576589367,0.5595053893300026,0.5873776168105221
stage3_confirmation,700,0.8,0.1,0.1,0.0001,0.6014355576589367,0.5595053893300026,0.5873776168105221
stage3_confirmation,700,0.8,0.1,0.1,0.001,0.6014355576589367,0.5595053893300026,0.5873776168105221
stage3_confirmation,700,0.8,0.1,0.1,0.01,0.6015933112478309,0.559678465237626,0.587528391133364
stage3_confirmation,700,0.8,0.1,0.1,0.1,0.601672188042278,0.5601969574373639,0.5883290845253277
stage3_confirmation,700,0.8,0.1,0.1,1.0,0.6049850134090551,0.5662628443306654,0.5939537231445579
stage3_confirmation,700,0.8,0.1,0.1,10.0,0.6106641426092444,0.5753178952858026,0.6041353742063131
stage3_confirmation,700,0.8,0.1,0.1,100.0,0.608140085186938,0.5748482724151092,0.608366800585918
stage3_confirmation,700,0.99,0.05,0.3,1e-10,0.6012778040700426,0.5690335347204489,0.5951378020734124
stage3_confirmation,700,0.99,0.05,0.3,1e-09,0.6012778040700426,0.5690335347204489,0.5951378020734124
stage3_confirmation,700,0.99,0.05,0.3,1e-08,0.6012778040700426,0.5690335347204489,0.5951378020734124
stage3_confirmation,700,0.99,0.05,0.3,1e-07,0.6012778040700426,0.5690335347204489,0.5951378020734124
stage3_confirmation,700,0.99,0.05,0.3,1e-06,0.6012778040700426,0.5690335347204489,0.5951378020734124
stage3_confirmation,700,0.99,0.05,0.3,1e-05,0.6012778040700426,0.5690335347204489,0.5951378020734124
stage3_confirmation,700,0.99,0.05,0.3,0.0001,0.6012778040700426,0.5690335347204489,0.5951378020734124
stage3_confirmation,700,0.99,0.05,0.3,0.001,0.6012778040700426,0.5690335347204489,0.5951378020734124
stage3_confirmation,700,0.99,0.05,0.3,0.01,0.6011989272755955,0.5690193971628481,0.595096204735642
stage3_confirmation,700,0.99,0.05,0.3,0.1,0.6013566808644897,0.5691513441305129,0.5951608061132693
stage3_confirmation,700,0.99,0.05,0.3,1.0,0.6035652311090077,0.571201216267222,0.5976904651897191
stage3_confirmation,700,0.99,0.05,0.3,10.0,0.6102697586370089,0.580872162503044,0.6106884056693257
stage3_confirmation,700,0.99,0.05,0.3,100.0,0.6120839249092916,0.5846781772018285,0.625858622448118
