stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage3_ridge_extension,1000,0.99,0.05,0.2,100.0,0.6265183782931062,0.6017123878077728,0.6324534914584826
stage3_ridge_extension,1000,0.99,0.05,0.2,300.0,0.6171320397539044,0.5967319811282533,0.6355933168894675
stage3_ridge_extension,1000,0.99,0.05,0.2,1000.0,0.5970184571699007,0.5778467534456991,0.6286777561436632
stage3_ridge_extension,1000,0.99,0.05,0.2,3000.0,0.5702792238523426,0.5526786166884452,0.6157419576727481
stage3_ridge_extension,1000,0.99,0.05,0.2,10000.0,0.5408581795235842,0.5240131516623789,0.5935299291620361
stage3_ridge_extension,700,0.8,0.1,0.1,10.0,0.6106641426092444,0.5753178952858026,0.6041353742063131
stage3_ridge_extension,700,0.8,0.1,0.1,100.0,0.608140085186938,0.5748482724151092,0.608366800585918
stage3_ridge_extension,700,0.8,0.1,0.1,300.0,0.6020665720145133,0.5700415970170545,0.609334198150245
stage3_ridge_extension,700,0.8,0.1,0.1,1000.0,0.5959930588420886,0.5678880083293345,0.618394448028006
stage3_ridge_extension,700,0.8,0.1,0.1,3000.0,0.5679129200189305,0.5422857356541265,0.60532673293351
stage3_ridge_extension,700,0.8,0.1,0.1,10000.0,0.5412525634958195,0.5170853235756194,0.5896598738495252
stage3_ridge_extension,700,0.99,0.05,0.3,100.0,0.6120839249092916,0.5846781772018285,0.625858622448118
stage3_ridge_extension,700,0.99,0.05,0.3,300.0,0.6040384918756901,0.5789952038469457,0.6277925059200629
stage3_ridge_extension,700,0.99,0.05,0.3,1000.0,0.58463480044171,0.5618046032135385,0.6220927064348704
stage3_ridge_extension,700,0.99,0.05,0.3,3000.0,0.5601041173686702,0.5431406261943288,0.6130668486731775
stage3_ridge_extension,700,0.99,0.05,0.3,10000.0,0.5269758637008992,0.5115106995942388,0.5890391603368358
